ID 	 x 	 y 	 w 	 h 	AREA
2 	 1753 	 722 	 41 	 37 	 1517
4 	 914 	 932 	 45 	 38 	 1710
2 	 1753 	 722 	 41 	 37 	 1517
4 	 865 	 942 	 44 	 36 	 1584
2 	 1803 	 730 	 42 	 34 	 1428
4 	 816 	 952 	 44 	 34 	 1496
2 	 1854 	 736 	 40 	 34 	 1360
4 	 767 	 960 	 45 	 39 	 1755
2 	 1902 	 744 	 38 	 32 	 1216
4 	 767 	 960 	 45 	 39 	 1755
2 	 1902 	 744 	 38 	 32 	 1216
4 	 767 	 960 	 45 	 39 	 1755
2 	 1902 	 744 	 38 	 32 	 1216
4 	 720 	 968 	 44 	 40 	 1760
2 	 1952 	 748 	 38 	 36 	 1368
4 	 674 	 978 	 44 	 39 	 1716
2 	 1997 	 757 	 39 	 35 	 1365
4 	 628 	 986 	 44 	 38 	 1672
2 	 2044 	 762 	 42 	 37 	 1554
4 	 628 	 986 	 44 	 38 	 1672
2 	 2044 	 762 	 42 	 37 	 1554
4 	 628 	 986 	 44 	 38 	 1672
2 	 2044 	 762 	 42 	 37 	 1554
4 	 584 	 996 	 44 	 36 	 1584
2 	 2090 	 768 	 43 	 37 	 1591
4 	 540 	 1004 	 44 	 36 	 1584
2 	 2138 	 776 	 41 	 34 	 1394
4 	 496 	 1014 	 44 	 34 	 1496
2 	 2183 	 784 	 42 	 32 	 1344
4 	 496 	 1014 	 44 	 34 	 1496
2 	 2183 	 784 	 42 	 32 	 1344
4 	 496 	 1014 	 44 	 34 	 1496
2 	 2183 	 784 	 42 	 32 	 1344
4 	 453 	 1024 	 45 	 33 	 1485
2 	 2228 	 790 	 44 	 34 	 1496
4 	 412 	 1032 	 44 	 34 	 1496
2 	 2274 	 794 	 42 	 36 	 1512
4 	 369 	 1038 	 45 	 36 	 1620
2 	 2318 	 800 	 43 	 34 	 1462
4 	 369 	 1038 	 45 	 36 	 1620
2 	 2318 	 800 	 43 	 34 	 1462
4 	 369 	 1038 	 45 	 36 	 1620
2 	 2318 	 800 	 43 	 34 	 1462
4 	 330 	 1048 	 44 	 34 	 1496
2 	 2362 	 808 	 43 	 32 	 1376
4 	 289 	 1056 	 45 	 34 	 1530
2 	 2406 	 814 	 44 	 35 	 1540
4 	 250 	 1064 	 44 	 34 	 1496
2 	 2448 	 820 	 46 	 36 	 1656
4 	 250 	 1064 	 44 	 34 	 1496
2 	 2448 	 820 	 46 	 36 	 1656
4 	 250 	 1064 	 44 	 34 	 1496
2 	 2448 	 820 	 46 	 36 	 1656
4 	 210 	 1072 	 46 	 36 	 1656
2 	 2492 	 826 	 44 	 35 	 1540
4 	 172 	 1081 	 44 	 33 	 1452
2 	 2536 	 832 	 44 	 32 	 1408
4 	 134 	 1088 	 44 	 36 	 1584
2 	 2578 	 838 	 46 	 32 	 1472
4 	 134 	 1088 	 44 	 36 	 1584
2 	 2578 	 838 	 46 	 32 	 1472
4 	 134 	 1088 	 44 	 36 	 1584
2 	 2578 	 838 	 46 	 32 	 1472
4 	 98 	 1096 	 44 	 34 	 1496
2 	 2620 	 844 	 47 	 34 	 1598
4 	 98 	 1096 	 44 	 34 	 1496
2 	 2620 	 844 	 47 	 34 	 1598
4 	 98 	 1096 	 44 	 34 	 1496
2 	 2620 	 844 	 47 	 34 	 1598
4 	 64 	 1106 	 40 	 30 	 1200
2 	 2662 	 850 	 42 	 32 	 1344
4 	 64 	 1106 	 40 	 30 	 1200
2 	 2662 	 850 	 42 	 32 	 1344
4 	 64 	 1106 	 40 	 30 	 1200
2 	 2662 	 850 	 42 	 32 	 1344
4 	 24 	 1114 	 44 	 30 	 1320
4 	 24 	 1114 	 44 	 30 	 1320
0 	 0 	 0 	 2704 	 760 	 2055040
1 	 0 	 0 	 2704 	 1520 	 4110080
2 	 0 	 426 	 46 	 46 	 2116
2 	 56 	 436 	 58 	 44 	 2552
2 	 122 	 446 	 60 	 41 	 2460
2 	 190 	 456 	 58 	 42 	 2436
2 	 258 	 464 	 54 	 42 	 2268
2 	 322 	 473 	 54 	 43 	 2322
2 	 387 	 484 	 53 	 40 	 2120
2 	 451 	 492 	 53 	 44 	 2332
2 	 514 	 500 	 52 	 44 	 2288
2 	 576 	 512 	 52 	 41 	 2132
2 	 640 	 520 	 48 	 40 	 1920
2 	 700 	 528 	 48 	 42 	 2016
2 	 640 	 520 	 48 	 40 	 1920
2 	 576 	 512 	 52 	 40 	 2080
2 	 514 	 500 	 52 	 44 	 2288
2 	 452 	 492 	 52 	 44 	 2288
2 	 387 	 484 	 53 	 40 	 2120
2 	 322 	 473 	 54 	 43 	 2322
2 	 258 	 464 	 54 	 42 	 2268
2 	 190 	 456 	 58 	 42 	 2436
2 	 122 	 446 	 60 	 41 	 2460
2 	 56 	 436 	 58 	 44 	 2552
2 	 0 	 426 	 46 	 46 	 2116
2 	 56 	 436 	 58 	 44 	 2552
2 	 56 	 436 	 58 	 44 	 2552
2 	 122 	 446 	 60 	 41 	 2460
2 	 122 	 446 	 60 	 41 	 2460
2 	 190 	 456 	 58 	 42 	 2436
2 	 190 	 456 	 58 	 42 	 2436
